row_idx,agree,action,min_q
0,1,-0.08826031535863876,
1,0,0.0,
2,0,0.0,
3,0,0.0,
4,0,0.0,
5,0,0.0,
6,1,-0.06280500441789627,
7,1,-0.08099773526191711,
8,0,0.0,
9,1,-0.09185779094696045,
10,0,0.0,
11,1,-0.015969237312674522,
12,0,0.0,
13,0,0.0,
14,0,0.0,
15,0,0.0,
16,0,0.0,
17,0,0.0,
18,0,0.0,
19,0,0.0,
20,0,0.0,
21,1,-0.0947159007191658,
22,1,-0.04049607738852501,
23,0,0.0,
24,0,0.0,
25,0,0.0,
26,0,0.0,
27,0,0.0,
28,0,0.0,
29,0,0.0,
30,1,0.002427620580419898,
31,0,0.0,
32,0,0.0,
33,0,0.0,
34,1,0.034459199756383896,
35,0,0.0,
36,0,0.0,
37,0,0.0,
38,0,0.0,
39,0,0.0,
40,0,0.0,
41,1,-0.025064567103981972,
42,1,-0.028764033690094948,
43,0,0.0,
44,0,0.0,
45,0,0.0,
46,1,-0.08443480730056763,
47,0,0.0,
48,0,0.0,
49,0,0.0,
50,1,-0.08256206661462784,
51,0,0.0,
52,1,-0.0991118773818016,
53,1,-0.09308203309774399,
54,0,0.0,
55,0,0.0,
56,1,-0.1003405824303627,
57,1,-0.09567159414291382,
58,1,-0.09414545446634293,
59,1,-0.09430549293756485,
60,0,0.0,
61,0,0.0,
62,0,0.0,
63,0,0.0,
64,1,-0.07180776447057724,
65,0,0.0,
66,0,0.0,
67,1,-0.049908608198165894,
68,1,-0.030175650492310524,
69,0,0.0,
70,1,-0.04145863279700279,
71,1,-0.041274670511484146,
72,0,0.0,
73,1,-0.029266424477100372,
74,1,-0.035341110080480576,
75,1,-0.03523559868335724,
76,0,0.0,
77,1,-0.01506972685456276,
78,1,-0.008157038129866123,
79,1,-0.0468887984752655,
80,0,0.0,
81,1,0.0001578958035679534,
82,1,-0.005042914766818285,
83,0,0.0,
84,0,0.0,
85,0,0.0,
86,1,0.07126844674348831,
87,1,0.019341569393873215,
88,1,0.00885440781712532,
89,1,0.0042988755740225315,
90,1,0.017814112827181816,
91,1,0.01461346447467804,
92,0,0.0,
93,0,0.0,
94,1,0.016383467242121696,
95,1,0.008304246701300144,
96,1,0.010438156314194202,
97,0,0.0,
98,1,0.062241267412900925,
99,1,0.09107521921396255,
100,1,0.11751934885978699,
101,0,0.0,
102,0,0.0,
103,0,0.0,
104,0,0.0,
105,0,0.0,
106,0,0.0,
107,0,0.0,
108,0,0.0,
109,0,0.0,
110,0,0.0,
111,0,0.0,
112,0,0.0,
113,0,0.0,
114,0,0.0,
115,0,0.0,
116,0,0.0,
117,0,0.0,
118,0,0.0,
119,0,0.0,
120,0,0.0,
121,0,0.0,
122,0,0.0,
123,0,0.0,
124,0,0.0,
125,0,0.0,
126,0,0.0,
127,0,0.0,
128,0,0.0,
129,0,0.0,
130,0,0.0,
131,0,0.0,
132,0,0.0,
133,0,0.0,
134,0,0.0,
135,0,0.0,
136,0,0.0,
137,0,0.0,
138,0,0.0,
139,0,0.0,
140,0,0.0,
141,0,0.0,
142,0,0.0,
143,0,0.0,
144,0,0.0,
145,0,0.0,
146,0,0.0,
147,1,0.024738052859902382,
148,0,0.0,
149,0,0.0,
150,0,0.0,
151,0,0.0,
152,0,0.0,
153,0,0.0,
154,0,0.0,
155,0,0.0,
156,1,0.10147673636674881,
157,0,0.0,
158,0,0.0,
159,1,0.024422070011496544,
160,1,0.024422070011496544,
161,0,0.0,
162,1,0.024422070011496544,
163,1,0.01817830465734005,
164,1,-0.009589359164237976,
165,0,0.0,
166,0,0.0,
167,1,-0.02132262848317623,
168,1,-0.022057922556996346,
169,1,-0.0041070920415222645,
170,0,0.0,
171,0,0.0,
172,0,0.0,
173,0,0.0,
174,0,0.0,
175,1,0.05922209843993187,
176,1,0.05020349100232124,
177,0,0.0,
178,0,0.0,
179,0,0.0,
180,1,0.028387246653437614,
181,0,0.0,
182,1,0.01658029668033123,
183,0,0.0,
184,1,0.05027161166071892,
185,0,0.0,
186,1,0.030011126771569252,
187,0,0.0,
188,0,0.0,
189,1,0.03722359240055084,
190,1,0.038022588938474655,
191,1,0.043840568512678146,
192,1,0.029075099155306816,
193,1,0.007825851440429688,
194,1,0.0026339751202613115,
195,0,0.0,
196,0,0.0,
197,0,0.0,
198,0,0.0,
199,0,0.0,
