row_idx,agree,action,max_pair_diff,min_q
0,0,0.0,0.09410814940929413,None
1,0,0.0,0.1641407012939453,None
2,0,0.0,0.22640322148799896,None
3,0,0.0,0.219244122505188,None
4,0,0.0,0.35856330394744873,None
5,1,0.16818609833717346,0.47664883732795715,None
6,0,0.0,0.03502202779054642,None
7,0,0.0,0.03926515951752663,None
8,1,-0.21211537718772888,0.37421202659606934,None
9,0,0.0,0.03235960751771927,None
10,0,0.0,0.3433927893638611,None
11,0,0.0,0.12483654916286469,None
12,1,0.16478601098060608,0.4427059292793274,None
13,1,-0.23517632484436035,0.5356246829032898,None
14,1,-0.1509292721748352,0.16877511143684387,None
15,1,-0.15030595660209656,0.16918006539344788,None
16,1,-0.21258145570755005,0.3235216438770294,None
17,1,-0.2942718267440796,0.539882242679596,None
18,1,-0.34400585293769836,0.7245197296142578,None
19,1,-0.2337709665298462,0.473280131816864,None
20,1,-0.2000274956226349,0.3509272038936615,None
21,1,-0.13673660159111023,0.13027729094028473,None
22,0,0.0,0.14316429197788239,None
23,0,0.0,0.5777120590209961,None
24,1,-0.25211626291275024,0.5378017425537109,None
25,1,-0.23266904056072235,0.5041728615760803,None
26,0,0.0,0.240458682179451,None
27,0,0.0,0.46201401948928833,None
28,0,0.0,0.26057878136634827,None
29,0,0.0,0.2427014261484146,None
30,0,0.0,0.1366782933473587,None
31,0,0.0,0.36506062746047974,None
32,1,0.2301623523235321,0.5224781632423401,None
33,1,0.18123289942741394,0.23862121999263763,None
34,0,0.0,0.10026764869689941,None
35,1,0.2501734793186188,0.4482190012931824,None
36,1,0.22562053799629211,0.5102004408836365,None
37,0,0.0,0.2560921609401703,None
38,1,-0.15867680311203003,0.2361522614955902,None
39,0,0.0,0.5718482732772827,None
40,0,0.0,0.5727616548538208,None
41,0,0.0,0.1187669038772583,None
42,0,0.0,0.10767783969640732,None
43,1,0.20534688234329224,0.4800158143043518,None
44,1,0.15838263928890228,0.3102582097053528,None
45,1,0.16484156250953674,0.22180487215518951,None
46,0,0.0,0.08295023441314697,None
47,0,0.0,0.46652114391326904,None
48,1,-0.27521082758903503,0.4888102114200592,None
49,0,0.0,0.849006175994873,None
50,1,-0.1278371959924698,0.14075659215450287,None
51,0,0.0,0.39597076177597046,None
52,1,-0.1359468549489975,0.12762579321861267,None
53,0,0.0,0.11295156180858612,None
54,0,0.0,0.5648140907287598,None
55,0,0.0,0.37263983488082886,None
56,1,-0.11690264940261841,0.05096603184938431,None
57,1,-0.1124606728553772,0.053770072758197784,None
58,1,-0.11087691783905029,0.0542779378592968,None
59,1,-0.11105740070343018,0.05426091328263283,None
60,0,0.0,0.28910648822784424,None
61,0,0.0,0.3375694155693054,None
62,0,0.0,0.35417792201042175,None
63,0,0.0,0.23470470309257507,None
64,0,0.0,0.05675998702645302,None
65,0,0.0,0.32628220319747925,None
66,1,-0.1736236810684204,0.28868088126182556,None
67,0,0.0,0.145413339138031,None
68,0,0.0,0.12818729877471924,None
69,0,0.0,0.6315128803253174,None
70,0,0.0,0.07333995401859283,None
71,0,0.0,0.06689053773880005,None
72,1,-0.11970832943916321,0.27247050404548645,None
73,0,0.0,0.07763120532035828,None
74,0,0.0,0.06623070687055588,None
75,0,0.0,0.04448268562555313,None
76,1,-0.17562726140022278,0.33218109607696533,None
77,0,0.0,0.1182614415884018,None
78,0,0.0,0.1039891317486763,None
79,0,0.0,0.06714003533124924,None
80,0,0.0,0.4855704605579376,None
81,0,0.0,0.09153853356838226,None
82,0,0.0,0.08811818063259125,None
83,1,-0.2089758962392807,0.4743231236934662,None
84,0,0.0,0.2812660336494446,None
85,0,0.0,0.35917168855667114,None
86,0,0.0,0.14953693747520447,None
87,0,0.0,0.07221978902816772,None
88,0,0.0,0.01683163084089756,None
89,0,0.0,0.08870701491832733,None
90,0,0.0,0.07941539585590363,None
91,0,0.0,0.05245112627744675,None
92,0,0.0,0.18756243586540222,None
93,1,0.1268446445465088,0.188892662525177,None
94,0,0.0,0.06713488698005676,None
95,0,0.0,0.1321469247341156,None
